No,Name,Pos,Ht,Wt,Class,Hometown,State,Team,UID
1,DeCarlo Hamiltona,DT,6-3,335,FR,Plantation,FL,Lib,3001
1,Zac Parkera,WR,5-9,185,SR,Reston,VA,Lib,3002
2,Jeremy Petersa,CB,5-10,190,SO,Green Cove Springs,FL,Lib,3003
3,Rion Davisa,S,6-0,190,FR,Hopkins,SC,Lib,3004
3,Stephon Mashaa,QB,6-1,205,JR,Marietta,GA,Lib,3005
4,Jaylyn McKinneya,LB,6-0,225,FR,Lake Wales,FL,Lib,3006
5,Lucas Ironsa,LB,6-0,215,SO,Fort Lauderdale,FL,Lib,3007
6,Tyrin Hollowaya,CB,6-0,195,JR,Humble,TX,Lib,3008
7,Ceneca Espinoza Jr.a,S,6-1,200,FR,Arlington,VA,Lib,3009
7,Damian Kinga,WR,5-11,175,SO,--,--,Lib,3010
8,Jimmy Faulksa,CB,6-1,175,FR,--,--,Lib,3011
8,Dante Shellsa,WR,6-1,180,SR,Camden,DE,Lib,3012
9,Nick Newmana,LB,6-4,215,SR,Gainesville,VA,Lib,3013
10,Alex Proberta,PK,5-9,170,FR,Andover,MN,Lib,3014
11,Antonio Gandy-Goldena,WR,6-4,200,FR,Dallas,GA,Lib,3015
11,Cole Gibsona,PK,6-1,235,FR,Chesapeake,VA,Lib,3016
11,Lionell McConnella,WR,5-10,180,FR,Allen,TX,Lib,3017
12,Stephen Calverta,QB,6-2,180,FR,Plantation,FL,Lib,3018
12,Brandon Tillmona,S,6-1,210,FR,Lexington,SC,Lib,3019
13,Korell Evansa,LB,6-1,215,FR,Hallandale,FL,Lib,3020
13,Rudiger Yearicka,QB,6-3,195,FR,Matthews,NC,Lib,3021
14,Cam Jacksona,CB,6-1,205,SO,Houston,TX,Lib,3022
15,T.J. Tillerya,CB,5-10,195,SO,Charlottesville,VA,Lib,3023
16,Spencer Jonesa,QB,6-3,185,FR,Nashville,TN,Lib,3024
17,Kendall Couamina,TE,6-2,255,JR,Miami Lakes,FL,Lib,3025
18,Josh Newmana,WR,5-10,190,FR,Gainesville,VA,Lib,3026
19,Will Johnsona,TE,6-6,265,SR,Osseo,MN,Lib,3027
20,Solomon McGintya,S,6-2,220,JR,Navasota,TX,Lib,3028
21,Mitchell Lewisa,RB,6-0,220,FR,Auburn,AL,Lib,3029
21,Wesley Scotta,CB,5-10,175,SR,Lorton,VA,Lib,3030
22,Todd Macona,RB,5-10,210,JR,--,--,Lib,3031
23,Frankie Hicksona,RB,5-8,200,FR,Lynchburg,VA,Lib,3032
24,Malik Matthewsa,CB,5-11,185,FR,Jacksonville,FL,Lib,3033
25,Aaron Glovera,LB,5-11,210,FR,Norfolk,VA,Lib,3034
26,Joseph Dixona,RB,5-9,190,SO,--,--,Lib,3035
27,Cameron Jonesa,CB,5-11,195,SO,New Orleans,LA,Lib,3036
28,Corbin Jacksona,S,6-0,200,SO,Charlotte,NC,Lib,3037
29,David Jeremaiha,WR,0-0,0,FR,--,--,Lib,3038
30,Dexter Robbinsa,LB,5-11,225,SR,Sevierville,TN,Lib,3039
31,Elijah Bentona,S,6-1,190,FR,Forest,VA,Lib,3040
32,Jermaine Copelanda,CB,5-9,190,FR,Farmville,VA,Lib,3041
33,Didier Monciona,RB,5-8,205,JR,MANSFIELD,CT,Lib,3042
34,Carrington Mosleya,RB,5-11,235,JR,Brookneal,VA,Lib,3043
35,Trey Turnera,P,5-11,210,JR,Rome,GA,Lib,3044
36,Thomas Kennedya,FB,5-11,240,JR,Roanoke,VA,Lib,3045
38,Alpha Jalloha,S,6-1,200,SR,New Carrollton,MD,Lib,3046
39,Chris Turnera,CB,6-3,175,SO,Columbia,SC,Lib,3047
40,Zac Foutza,TE,6-4,250,FR,Roanoke,VA,Lib,3048
42,Erwin Dessourcesa,DE,6-1,235,SR,Randolph,MA,Lib,3049
43,Benjamin Alexandera,S,6-2,175,FR,Spring Mills,PA,Lib,3050
44,Dia'Vante Browna,DE,6-2,245,JR,Greensboro,NC,Lib,3051
47,Ben Thomasa,DL,6-2,245,JR,Greenwood,SC,Lib,3052
48,David Kinga,LB,6-1,230,SO,Stuarts Draft,VA,Lib,3053
49,Jason Pittsa,LB,6-0,200,JR,Detroit,MI,Lib,3054
51,Trystin Knowlanda,OL,6-6,275,FR,Manchester,CT,Lib,3055
52,Michael Andersona,DE,6-3,220,FR,Fort Lauderdale,FL,Lib,3056
53,Joshua Carlina,OL,6-3,245,FR,Forest,VA,Lib,3057
54,Juwan Wellsa,DE,6-2,255,SO,Dublin,GA,Lib,3058
55,Tolen Averya,DE,6-4,270,SO,Galveston,TX,Lib,3059
56,Dontae Duffa,OL,6-1,310,FR,Mesquite,TX,Lib,3060
57,Hunter Winsteada,LS,6-0,240,JR,Raleigh,NC,Lib,3061
59,Damian Boundsa,OL,6-2,260,FR,Ellenwood,GA,Lib,3062
63,Aidan Burroughsa,OL,6-3,275,FR,Norfolk,NE,Lib,3063
65,Thomas Sargeanta,OL,6-3,270,FR,Mechanicsville,VA,Lib,3064
66,Ethan Crawforda,OL,6-3,295,FR,Augusta,GA,Lib,3065
67,Michael Hendermana,OL,6-3,300,JR,Atlanta,GA,Lib,3066
68,Tanner Hartmana,OL,6-4,280,JR,Christiansburg,VA,Lib,3067
69,Devin Crispa,OL,6-1,295,SR,Oklahoma City,OK,Lib,3068
70,Lucas Holdera,OL,6-4,295,JR,Hillsville,VA,Lib,3069
73,Sam Isaacsona,OL,6-6,305,FR,Lynchburg,VA,Lib,3070
74,Julio Lozanoa,OL,6-4,270,SO,Bellaire,TX,Lib,3071
