No,Name,Pos,Ht,Wt,Class,Hometown,State,Team,UID
1,Isaiah Forda,WR,6-2,190,JR,Jacksonville,FL,VT,2001
2,Tyree Rodgersa,DB,6-1,180,FR,Camden,NJ,VT,2002
3,Greg Stromana,DB,6-1,170,JR,Bristow,VA,VT,2003
4,Ken Ekanema,DE,6-3,253,SR,Centreville,VA,VT,2004
4,Jerod Evansa,QB,6-4,235,JR,Dallas,TX,VT,2005
5,Cam Phillipsa,WR,6-1,198,JR,Laurel,MD,VT,2006
6,Mook Reynoldsa,S,6-1,184,SO,Greensboro,NC,VT,2007
7,Bucky Hodgesa,TE,6-7,245,JR,Virginia Beach,VA,VT,2008
8,Phil Pattersona,WR,6-2,185,FR,Virginia Beach,VA,VT,2009
8,Nigel Williamsa,DT,6-4,295,SR,Richmond,VA,VT,2010
9,Khalil Ladlera,CB,5-11,178,FR,Stone Mountain,GA,VT,2011
9,Brenden Motleya,QB,6-3,225,SR,Christiansburg,VA,VT,2012
11,Jack Clicka,QB,6-3,216,FR,Glen Allen,VA,VT,2013
11,Houshun Gainesa,DE,6-4,231,FR,Rocky Mount,NC,VT,2014
12,Josh Jacksona,QB,6-2,207,FR,Ann Arbor,MI,VT,2015
12,Henri Murphya,WR,5-11,185,JR,White Hall,AR,VT,2016
13,Chris Durkina,TE,6-4,232,SO,Poland,OH,VT,2017
14,Tavante Becketta,LB,6-0,215,FR,Chesapeake,VA,VT,2018
15,Jaylen Bradshawa,WR,6-1,198,SO,Chesapeake,VA,VT,2019
16,Coleman Foxa,RB,5-11,192,FR,Salem,VA,VT,2020
17,Jahque Alleynea,S,6-1,175,SO,Virginia Beach,VA,VT,2021
18,Raymon Minora,LB,6-2,231,SO,Ashland,VA,VT,2022
18,Chase Mummaua,QB,6-2,174,FR,Mechanicsville,VA,VT,2023
19,Chuck Clarka,S,6-1,202,SR,Suffolk,VA,VT,2024
20,Deon Newsomea,S,5-11,187,JR,Hampton,VA,VT,2025
21,Reggie Floyda,DB,6-0,200,FR,Manassas,VA,VT,2026
22,Terrell Edmundsa,LB,6-1,201,SO,Danville,VA,VT,2027
23,Der'Woun Greenea,S,5-11,194,SR,Portsmouth,VA,VT,2028
24,Anthony Shegoga,LB,6-3,212,JR,Stafford,VA,VT,2029
26,Jovonn Quillena,DB,6-2,195,FR,Hampton,VA,VT,2030
27,Dominic Bensona,WR,6-1,176,FR,Woodbridge,VA,VT,2031
27,Shawn Paynea,CB,6-3,185,SO,Chesterfield,VA,VT,2032
28,Shai McKenziea,RB,5-11,215,SO,Washington,PA,VT,2033
28,Curtis Williamsa,CB,5-9,176,JR,Amelia,VA,VT,2034
